id,prompt,context,A,B,C,D,E,answer,useful,thought
182,What is the proposed name for the field that is responsible for cosmic inflation and the metric expansion of space?,"Inflationary cosmology. ""Inflationary cosmology."" In physical cosmology, warm inflation is one of two dynamical realizations of cosmological inflation. Starobinsky inflation is a modification of general relativity used to explain cosmological inflation. ==History== In the Soviet Union, Alexei Starobinsky noted that quantum corrections to general relativity should be important for the early universe. Category:Inflation (cosmology) Category:Physical cosmology Category:Multiverse ",Inflaton,Quanta,Scalar,Metric,Conformal cyclic cosmology,A,TRUE,"Based on the background knowledge, the proposed name for the field that is responsible for cosmic inflation and the metric expansion of space is the inflaton. Inflationary cosmology is a theory that suggests the universe underwent a rapid expansion in its early stages, driven by a scalar field called the inflaton. Therefore, the correct answer is A) Inflaton."
183,Which of the following statements accurately describes the characteristics of gravitational waves?,"As with other waves, there are a number of characteristics used to describe a gravitational wave: * Amplitude: Usually denoted h, this is the size of the wave the fraction of stretching or squeezing in the animation. The speed, wavelength, and frequency of a gravitational wave are related by the equation , just like the equation for a light wave. If the orbit of the masses is elliptical then the gravitational wave's amplitude also varies with time according to Einstein's quadrupole formula. Stephen Hawking and Werner Israel list different frequency bands for gravitational waves that could plausibly be detected, ranging from 10−7 Hz up to 1011 Hz. ==Speed of gravity== The speed of gravitational waves in the general theory of relativity is equal to the speed of light in vacuum, . Gravitational waves are waves of the intensity of gravity generated by the accelerated masses of an orbital binary system that propagate as waves outward from their source at the speed of light.","Gravitational waves have an amplitude denoted by h, which represents the size of the wave. The amplitude varies with time according to Newton's quadrupole formula. Gravitational waves also have a frequency denoted by f, which is the frequency of the wave's oscillation, and a wavelength denoted by λ, which is the distance between points of minimum stretch or squeeze.","Gravitational waves have an amplitude denoted by λ, which represents the distance between points of maximum stretch or squeeze. The amplitude varies with time according to Einstein's quadrupole formula. Gravitational waves also have a frequency denoted by h, which is the size of the wave, and a wavelength denoted by f, which is the frequency of the wave's oscillation.","Gravitational waves have an amplitude denoted by h, which represents the size of the wave. The amplitude varies with time according to Einstein's quadrupole formula. Gravitational waves also have a frequency denoted by f, which is the frequency of the wave's oscillation, and a wavelength denoted by λ, which is the distance between points of maximum stretch or squeeze.","Gravitational waves have an amplitude denoted by f, which represents the frequency of the wave's oscillation. The amplitude varies with time according to Einstein's quadrupole formula. Gravitational waves also have a frequency denoted by h, which is the size of the wave, and a wavelength denoted by λ, which is the distance between points of maximum stretch or squeeze.","Gravitational waves have an amplitude denoted by f, which represents the frequency of the wave's oscillation. The amplitude varies with time according to Newton's quadrupole formula. Gravitational waves also have a frequency denoted by h, which is the size of the wave, and a wavelength denoted by λ, which is the distance between points of minimum stretch or squeeze.",C,TRUE,"We know that gravitational waves have an amplitude denoted by h, which represents the size of the wave. The amplitude varies with time according to Einstein's quadrupole formula. Gravitational waves also have a frequency denoted by f, which is the frequency of the wave's oscillation, and a wavelength denoted by λ, which is the distance between points of maximum stretch or squeeze. Therefore, option C accurately describes the characteristics of gravitational waves."
184,What is the difference between the coevolution of myrmecophytes and the mutualistic symbiosis of mycorrhiza?,"Many myrmecophytes are defended from both herbivores and other competing plants by their ant symbionts. The ants keep the plant free from other insects and vertebrate herbivores, from invading fungi and also from other plants. == Examples of myrmecophytic genera and species == * Anthorrhiza * Dischidia * Hydnophytum * Lecanopteris * Nepenthes bicalcarata * Microgramma * Myrmecodia * Myrmephytum * Squamellaria * Vachellia cornigera == See also == *Ant garden *List of symbiotic relationships ==Notes== ==References== * * * * * * * * * * * * * == External links == * A video about ant plants Category:Ants Category:Mutualism (biology) Category:Botany * Myrmecotrophy is the ability of plants to obtain nutrients from ants, a form of mutualism. Specifically, domatia adapted to ants may be called myrmecodomatia. == Mutualism == Myrmecophytes share a mutualistic relationship with ants, benefiting both the plants and ants. Mycorrhizal relationships are most commonly mutualistic, with both partners benefiting, but can be commensal or parasitic, and a single partnership may change between any of the three types of symbiosis at different times. ","Myrmecophytes coevolve with ants, providing them with a home and sometimes food, while the ants defend the plant from herbivores and competing plants. On the other hand, mycorrhiza is a mutualistic symbiosis between plants and fungi, where the fungi help the plants gain water and mineral nutrients from the soil, while the plant gives the fungi carbohydrates manufactured in photosynthesis.","Myrmecophytes coevolve with ants, providing them with food, while the ants defend the plant from herbivores and competing plants. On the other hand, mycorrhiza is a mutualistic symbiosis between plants and fungi, where the fungi help the plants gain water and mineral nutrients from the soil, while the plant gives the fungi water and mineral nutrients.","Myrmecophytes coevolve with butterflies, providing them with a home and sometimes food, while the butterflies defend the plant from herbivores and competing plants. On the other hand, mycorrhiza is a mutualistic symbiosis between plants and birds, where the birds help the plants gain water and mineral nutrients from the soil, while the plant gives the birds carbohydrates manufactured in photosynthesis.","Myrmecophytes coevolve with birds, providing them with a home and sometimes food, while the birds defend the plant from herbivores and competing plants. On the other hand, mycorrhiza is a mutualistic symbiosis between plants and bacteria, where the bacteria help the plants gain water and mineral nutrients from the soil, while the plant gives the bacteria carbohydrates manufactured in photosynthesis.","Myrmecophytes coevolve with bees, providing them with a home and sometimes food, while the bees defend the plant from herbivores and competing plants. On the other hand, mycorrhiza is a mutualistic symbiosis between plants and insects, where the insects help the plants gain water and mineral nutrients from the soil, while the plant gives the insects carbohydrates manufactured in photosynthesis.",A,TRUE,"The background knowledge provided explains the mutualistic relationship between myrmecophytes and ants, where the ants defend the plant from herbivores and competing plants, while the plant provides them with a home and sometimes food. On the other hand, mycorrhiza is a mutualistic symbiosis between plants and fungi, where the fungi help the plants gain water and mineral nutrients from the soil, while the plant gives the fungi carbohydrates manufactured in photosynthesis. Therefore, option A is the correct answer."
185,What is the Kelvin-Helmholtz instability and how does it affect Earth's magnetosphere?,"thumb|right|Numerical simulation of a temporal Kelvin–Helmholtz instability The Kelvin–Helmholtz instability (after Lord Kelvin and Hermann von Helmholtz) is a fluid instability that occurs when there is velocity shear in a single continuous fluid or a velocity difference across the interface between two fluids. If the density and velocity vary continuously in space (with the lighter layers uppermost, so that the fluid is RT-stable), the dynamics of the Kelvin- Helmholtz instability is described by the Taylor–Goldstein equation: (U-c)^2\left({d^2\tilde\phi \over d z^2} - k^2\tilde\phi\right) +\left[N^2-(U-c){d^2 U \over d z^2}\right]\tilde\phi = 0, where N = \sqrt{g / L_\rho} denotes the Brunt–Väisälä frequency, U is the horizontal parallel velocity, k is the wave number, c is the eigenvalue parameter of the problem, \tilde\phi is complex amplitude of the stream function. The impact of the solar wind onto the magnetosphere generates an electric field within the inner magnetosphere (r < 10 a; with a the Earth's radius) - the convection field-. Numerically, the Kelvin–Helmholtz instability is simulated in a temporal or a spatial approach. Kelvin-Helmholtz instabilities are visible in the atmospheres of planets and moons, such as in cloud formations on Earth or the Red Spot on Jupiter, and the atmospheres of the Sun and other stars. ==Theory overview and mathematical concepts== thumb|right|A KH instability on the planet Saturn, formed at the interaction of two bands of the planet's atmosphere thumb|left|Kelvin-Helmholtz billows 500m deep in the Atlantic Ocean thumb|Animation of the KH instability, using a second order 2D finite volume scheme Fluid dynamics predicts the onset of instability and transition to turbulent flow within fluids of different densities moving at different speeds.","The Kelvin-Helmholtz instability is a phenomenon that occurs when large swirls of plasma travel along the edge of the magnetosphere at a different velocity from the magnetosphere, causing the plasma to slip past. This results in magnetic reconnection, and as the magnetic field lines break and reconnect, solar wind particles are able to enter the magnetosphere.",The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetosphere is compared to a sieve because it allows solar wind particles to enter.,"The Kelvin-Helmholtz instability is a phenomenon that occurs when Earth's bow shock is about 17 kilometers (11 mi) thick and located about 90,000 kilometers (56,000 mi) from Earth.","The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetic field extends in the magnetotail on Earth's nightside, which lengthwise exceeds 6,300,000 kilometers (3,900,000 mi).","The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetosphere is compressed by the solar wind to a distance of approximately 65,000 kilometers (40,000 mi) on the dayside of Earth. This results in the magnetopause existing at a distance of several hundred kilometers above Earth's surface.",A,TRUE,"The background knowledge provides a clear explanation of the Kelvin-Helmholtz instability and its effects on Earth's magnetosphere. It states that the Kelvin-Helmholtz instability occurs when there is velocity shear in a single continuous fluid or a velocity difference across the interface between two fluids. In the context of Earth's magnetosphere, the impact of the solar wind generates an electric field within the inner magnetosphere, known as the convection field. This suggests that the Kelvin-Helmholtz instability affects Earth's magnetosphere by causing the convection field and potentially allowing solar wind particles to enter the magnetosphere."
186,What is the significance of the high degree of fatty-acyl disorder in the thylakoid membranes of plants?,"On the thylakoid membranes are photosynthetic pigments, including chlorophyll a. Chloroplasts in plants are notable as they exhibit a distinct chloroplast dimorphism. === pH === Because of the H+ gradient across the thylakoid membrane, the interior of the thylakoid is acidic, with a pH around 4, while the stroma is slightly basic, with a pH of around 8. A chloroplast is characterized by its two membranes and a high concentration of chlorophyll. Inside the outer and inner chloroplast membranes is the chloroplast stroma, a semi-gel-like fluid that makes up much of a chloroplast's volume, and in which the thylakoid system floats. In addition to regulating the passage of materials, the inner chloroplast membrane is where fatty acids, lipids, and carotenoids are synthesized. ==== Peripheral reticulum ==== Some chloroplasts contain a structure called the chloroplast peripheral reticulum.",The high degree of fatty-acyl disorder in the thylakoid membranes of plants is responsible for the low fluidity of membrane lipid fatty-acyl chains in the gel phase.,The high degree of fatty-acyl disorder in the thylakoid membranes of plants is responsible for the exposure of chloroplast thylakoid membranes to cold environmental temperatures.,The high degree of fatty-acyl disorder in the thylakoid membranes of plants allows for innate fluidity even at relatively low temperatures.,The high degree of fatty-acyl disorder in the thylakoid membranes of plants allows for a gel-to-liquid crystalline phase transition temperature to be determined by many techniques.,"The high degree of fatty-acyl disorder in the thylakoid membranes of plants restricts the movement of membrane proteins, thus hindering their physiological role.",C,TRUE,The high degree of fatty-acyl disorder in the thylakoid membranes of plants allows for innate fluidity even at relatively low temperatures.
187,What is the explanation for the effective supersymmetry in quark-diquark models?,"Corresponding models of baryons are referred to as quark–diquark models. The diquark is often treated as a single subatomic particle with which the third quark interacts via the strong interaction. Diquark–antidiquark pairs have also been advanced for anomalous particles such as the X(3872). == Formation == The forces between the two quarks in a diquark is attractive when both the colors and spins are antisymmetric. In particle physics, a diquark, or diquark correlation/clustering, is a hypothetical state of two quarks grouped inside a baryon (that consists of three quarks) (Lichtenberg 1982). In this study the baryon had one heavy and two light quarks.","Two different color charges close together appear as the corresponding anti-color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.","Two different color charges close together appear as the corresponding color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.","Two different color charges close together appear as the corresponding color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.","Two different color charges close together appear as the corresponding anti-color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.","Two different color charges close together appear as the corresponding anti-color under any resolution, which makes a diquark cluster viewed with any resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.",A,TRUE,"Based on the background knowledge, the explanation for the effective supersymmetry in quark-diquark models is that two different color charges close together appear as the corresponding anti-color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson."
188,What is the relationship between the complete electromagnetic Hamiltonian of a molecule and the parity operation?,"Wiley To see that the parity's eigenvalues are phase factors, we assume an eigenstate of the parity operation (this is realized because the intrinsic parity is a property of a particle species) and use the fact that two parity transformations leave the particle in the same state, thus the new wave function can differ by only a phase factor, i.e.: P^{2} \psi = e^{i \phi} \psi thus P \psi = \pm e^{i \phi /2} \psi, since these are the only eigenstates satisfying the above equation. In quantum mechanics, the intrinsic parity is a phase factor that arises as an eigenvalue of the parity operation x_i \rightarrow x_i' = -x_i (a reflection about the origin).Griffiths, D., (1987). Since the parity commutes with the Hamiltonian and \frac{dP}{dt} = 0 its eigenvalue does not change with time, therefore the intrinsic parities phase is a conserved quantity. The intrinsic parity of a system is the product of the intrinsic parities of the particles, for instance for noninteracting particles we have P(|1\rangle|2\rangle)=(P|1\rangle)(P|2\rangle). As [P,H]=0 the Hamiltonian is invariant under a parity transformation.","The complete electromagnetic Hamiltonian of any molecule is invariant to the parity operation, and its eigenvalues cannot be given the parity symmetry label + or -.","The complete electromagnetic Hamiltonian of any molecule is dependent on the parity operation, and its eigenvalues can be given the parity symmetry label even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule is dependent on the parity operation, and its eigenvalues can be given the parity symmetry label + or - depending on whether they are even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule is invariant to the parity operation, and its eigenvalues can be given the parity symmetry label + or - depending on whether they are even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule does not involve the parity operation, and its eigenvalues cannot be given the parity symmetry label + or -.",D,FALSE,fail
189,What is the difference between active and passive transport in cells?,"Passive transport is a type of membrane transport that does not require energy to move substances across cell membranes. Instead of using cellular energy, like active transport, passive transport relies on the second law of thermodynamics to drive the movement of substances across cell membranes. There are two types of passive transport, passive diffusion and facilitated diffusion. Transcellular transport can occur in three different ways active transport, passive transport, and transcytosis. == Active Transport == Main article: Active transport Active transport is the process of moving molecules from an area of low concentrations to an area of high concentration. Simple diffusion and osmosis are both forms of passive transport and require none of the cell's ATP energy. === Example of diffusion: Gas Exchange === A biological example of diffusion is the gas exchange that occurs during respiration within the human body. ",Active transport and passive transport both require energy input from the cell to function.,"Passive transport is powered by the arithmetic sum of osmosis and an electric field, while active transport requires energy input from the cell.","Passive transport requires energy input from the cell, while active transport is powered by the arithmetic sum of osmosis and an electric field.",Active transport and passive transport are both powered by the arithmetic sum of osmosis and an electric field.,"Active transport is powered by the arithmetic sum of osmosis and an electric field, while passive transport requires energy input from the cell.",B,FALSE,fail
190,What is the Heisenberg uncertainty principle and how does it relate to angular momentum in quantum mechanics?,"Just as there is an uncertainty principle relating position and momentum, there are uncertainty principles for angular momentum. Heisenberg's uncertainty relation is one of the fundamental results in quantum mechanics. The Heisenberg–Robertson uncertainty relation follows from the above uncertainty relation. ==Remarks== In quantum theory, one should distinguish between the uncertainty relation and the uncertainty principle. In simpler terms, the total angular momentum operator characterizes how a quantum system is changed when it is rotated. In quantum mechanics, the angular momentum operator is one of several related operators analogous to classical angular momentum. ","The Heisenberg uncertainty principle states that the axis of rotation of a quantum particle is undefined, and that quantum particles possess a type of non-orbital angular momentum called ""spin"". This is because angular momentum, like other quantities in quantum mechanics, is expressed as a tensorial operator in relativistic quantum mechanics.","The Heisenberg uncertainty principle states that the total angular momentum of a system of particles is equal to the sum of the individual particle angular momenta, and that the centre of mass is for the system. This is because angular momentum, like other quantities in quantum mechanics, is expressed as an operator with quantized eigenvalues.","The Heisenberg uncertainty principle states that the total angular momentum of a system of particles is subject to quantization, and that the individual particle angular momenta are expressed as operators. This is because angular momentum, like other quantities in quantum mechanics, is subject to the Heisenberg uncertainty principle.","The Heisenberg uncertainty principle states that the axis of rotation of a quantum particle is undefined, and that at any given time, only one projection of angular momentum can be measured with definite precision, while the other two remain uncertain. This is because angular momentum, like other quantities in quantum mechanics, is subject to quantization and expressed as an operator with quantized eigenvalues.","The Heisenberg uncertainty principle states that at any given time, only one projection of angular momentum can be measured with definite precision, while the other two remain uncertain. This is because angular momentum, like other quantities in quantum mechanics, is expressed as an operator with quantized eigenvalues.",E,FALSE,fail
191,What is the difference between natural convection and forced convection?,"* Forced convection: when a fluid is forced to flow over the surface by an internal source such as fans, by stirring, and pumps, creating an artificially induced convection current.http://www.engineersedge.com/heat_transfer/convection.htm Engineers Edge, 2009, ""Convection Heat Transfer"",Accessed 20/04/09 In many real-life applications (e.g. heat losses at solar central receivers or cooling of photovoltaic panels), natural and forced convection occur at the same time (mixed convection). Forced convection is type of heat transport in which fluid motion is generated by an external source like a (pump, fan, suction device, etc.). In fluid thermodynamics, combined forced convection and natural convection, or mixed convection, occurs when natural convection and forced convection mechanisms act together to transfer heat. In other cases, natural buoyancy forces alone are entirely responsible for fluid motion when the fluid is heated, and this process is called ""natural convection"". Combined forced and natural convection, however, can be generally described in one of three ways. ===Two-dimensional mixed convection with aiding flow=== The first case is when natural convection aids forced convection.","Natural convection and forced convection are the same phenomenon, where a fluid is forced to flow over the surface by an internal source such as fans, stirring, and pumps, causing the fluid to be less dense and displaced.",Natural convection and forced convection are two different phenomena that do not relate to each other.,"Natural convection occurs when a fluid is in contact with a hot surface, causing the fluid to be less dense and displaced, while forced convection is when a fluid is forced to flow over the surface by an internal source such as fans, stirring, and pumps.","Natural convection is when a fluid is forced to flow over the surface by an internal source such as fans, stirring, and pumps, while forced convection occurs when a fluid is in contact with a hot surface, causing the fluid to be less dense and displaced.","Natural convection and forced convection are the same phenomenon, where a fluid is in contact with a hot surface, causing the fluid to be less dense and displaced, and then forced to flow over the surface by an internal source such as fans, stirring, and pumps.",C,TRUE,"Natural convection and forced convection are two different phenomena. Natural convection occurs when a fluid is in contact with a hot surface, causing the fluid to be less dense and displaced. Forced convection, on the other hand, is when a fluid is forced to flow over the surface by an internal source such as fans, stirring, and pumps. Therefore, the correct answer is C) Natural convection occurs when a fluid is in contact with a hot surface, causing the fluid to be less dense and displaced, while forced convection is when a fluid is forced to flow over the surface by an internal source such as fans, stirring, and pumps."
192,What is magnetic susceptibility?,"Magnetic susceptibility indicates whether a material is attracted into or repelled out of a magnetic field. This allows classical physics to make useful predictions while avoiding the underlying quantum mechanical details. ==Definition== === Volume susceptibility === Magnetic susceptibility is a dimensionless proportionality constant that indicates the degree of magnetization of a material in response to an applied magnetic field. In electromagnetism, the magnetic susceptibility (; denoted , chi) is a measure of how much a material will become magnetized in an applied magnetic field. Susceptibility may refer to: ==Physics and engineering== In physics the susceptibility is a quantification for the change of an extensive property under variation of an intensive property. This allows an alternative description of all magnetization phenomena in terms of the quantities and , as opposed to the commonly used and . === Molar susceptibility and mass susceptibility === There are two other measures of susceptibility, the molar magnetic susceptibility () with unit m3/mol, and the mass magnetic susceptibility () with unit m3/kg that are defined below, where is the density with unit kg/m3 and is molar mass with unit kg/mol: \begin{align} \chi_\rho &= \frac{\chi_\text{v}}{\rho}; \\\ \chi_\text{m} &= M\chi_\rho = \frac{M}{\rho} \chi_\text{v}. \end{align} === In CGS units === The definitions above are according to the International System of Quantities (ISQ) upon which the SI is based.","Magnetic susceptibility is a measure of how much a material will absorb magnetization in an applied magnetic field. It is the ratio of magnetization to the applied magnetizing field intensity, allowing for a simple classification of most materials' responses to an applied magnetic field.","Magnetic susceptibility is a measure of how much a material will become magnetized in an applied magnetic field. It is the ratio of magnetization to the applied magnetizing field intensity, allowing for a simple classification of most materials' responses to an applied magnetic field.","Magnetic susceptibility is a measure of how much a material will resist magnetization in an applied magnetic field. It is the ratio of magnetization to the applied magnetizing field intensity, allowing for a simple classification of most materials' responses to an applied magnetic field.","Magnetic susceptibility is a measure of how much a material will conduct magnetization in an applied magnetic field. It is the ratio of magnetization to the applied magnetizing field intensity, allowing for a simple classification of most materials' responses to an applied magnetic field.","Magnetic susceptibility is a measure of how much a material will reflect magnetization in an applied magnetic field. It is the ratio of magnetization to the applied magnetizing field intensity, allowing for a simple classification of most materials' responses to an applied magnetic field.",B,TRUE,"Magnetic susceptibility is a measure of how much a material will become magnetized in an applied magnetic field. It is the ratio of magnetization to the applied magnetizing field intensity, allowing for a simple classification of most materials' responses to an applied magnetic field."
193,"What is a transient condensation cloud, also known as a Wilson cloud?","A transient condensation cloud, also called a Wilson cloud, is observable surrounding large explosions in humid air. The lifetime of the Wilson cloud during nuclear air bursts can be shortened by the thermal radiation from the fireball, which heats the cloud above to the dew point and evaporates the droplets. ===Non-nuclear explosions=== Any sufficiently large explosion, such as one caused by a large quantity of conventional explosives or a volcanic eruption, can create a condensation cloud, as seen in Operation Sailor Hat or in the 2020 Beirut explosion, where a very large Wilson cloud expanded outwards from the blast. ===Aircraft and Rockets=== The same kind of condensation cloud is sometimes seen above the wings of aircraft in a moist atmosphere. Such vapor can also be seen in low pressure regions during high–g subsonic maneuvers of aircraft in humid conditions. ==Occurrence== ===Nuclear weapons testing=== Scientists observing the Operation Crossroads nuclear tests in 1946 at Bikini Atoll named that transitory cloud a ""Wilson cloud"" because the same pressure effect is employed in a Wilson cloud chamber to let condensation mark the tracks of electrically- charged sub-atomic particles. Analysts of later nuclear bomb tests used the more general term condensation cloud. Hence, the small, transient clouds that appear.","A visible cloud of smoke that forms when a nuclear weapon or a large amount of a conventional explosive is detonated in humid air, due to the burning of materials in the explosion.","A visible cloud of microscopic water droplets that forms when a nuclear weapon or a large amount of a conventional explosive is detonated in humid air, due to a temporary cooling of the air caused by a rarefaction of the air surrounding the explosion.","A visible cloud of microscopic water droplets that forms when a nuclear weapon or a large amount of a conventional explosive is detonated in dry air, due to a temporary cooling of the air caused by a rarefaction of the air surrounding the explosion.","A visible cloud of gas that forms when a nuclear weapon or a large amount of a conventional explosive is detonated in humid air, due to the release of gases from the explosion.","A visible cloud of smoke that forms when a nuclear weapon or a large amount of a conventional explosive is detonated in dry air, due to the burning of materials in the explosion.",B,TRUE,"Based on the background knowledge provided, a transient condensation cloud, also known as a Wilson cloud, is a visible cloud of microscopic water droplets that forms when a nuclear weapon or a large amount of a conventional explosive is detonated in humid air. This is due to a temporary cooling of the air caused by a rarefaction of the air surrounding the explosion."
194,What is a uniform tiling in the hyperbolic plane?,"In geometry, the tetrahexagonal tiling is a uniform tiling of the hyperbolic plane. In geometry, the pentahexagonal tiling is a uniform tiling of the hyperbolic plane. In geometry, the tetraheptagonal tiling is a uniform tiling of the hyperbolic plane. This coloring can be called a rhombiheptaheptagonal tiling. 160px The dual tiling is made of rhombic faces and has a face configuration V4.7.4.7. == Related polyhedra and tiling == ==See also== *Uniform tilings in hyperbolic plane *List of regular polytopes ==References== * John H. Conway, Heidi Burgiel, Chaim Goodman-Strass, The Symmetries of Things 2008, (Chapter 19, The Hyperbolic Archimedean Tessellations) * == External links == * * * Hyperbolic and Spherical Tiling Gallery * KaleidoTile 3: Educational software to create spherical, planar and hyperbolic tilings * Hyperbolic Planar Tessellations, Don Hatch Category:Hyperbolic tilings Category:Isogonal tilings Category:Isotoxal tilings Category:Uniform tilings It has Schläfli symbol of r{6,5} or t1{6,5}. == Uniform colorings == 120px == Related polyhedra and tiling == [(5,5,3)] reflective symmetry uniform tilings 60px 60px 60px 60px 60px 60px 60px ==References== * John H. Conway, Heidi Burgiel, Chaim Goodman-Strass, The Symmetries of Things 2008, (Chapter 19, The Hyperbolic Archimedean Tessellations) * ==See also== *Square tiling *Tilings of regular polygons *List of uniform planar tilings *List of regular polytopes == External links == * * * Hyperbolic and Spherical Tiling Gallery * KaleidoTile 3: Educational software to create spherical, planar and hyperbolic tilings * Hyperbolic Planar Tessellations, Don Hatch Category:Hyperbolic tilings Category:Isogonal tilings Category:Isotoxal tilings Category:Uniform tilings",A uniform tiling in the hyperbolic plane is a tessellation of the hyperbolic plane with irregular polygons as faces. These are not vertex-transitive and isogonal.,A uniform tiling in the hyperbolic plane is a tessellation of the hyperbolic plane with regular polygons as faces. These are not vertex-transitive and isogonal.,A uniform tiling in the hyperbolic plane is a tessellation of the hyperbolic plane with irregular polygons as faces. These are vertex-transitive and isogonal.,"A uniform tiling in the hyperbolic plane is an edge-to-edge filling of the hyperbolic plane, with regular polygons as faces. These are vertex-transitive and isogonal.","A uniform tiling in the hyperbolic plane is an edge-to-edge filling of the hyperbolic plane, with irregular polygons as faces. These are vertex-transitive and isogonal.",D,FALSE,fail
195,What is the relation between the three moment theorem and the bending moments at three successive supports of a continuous beam?,"The second equation is more general as it does not require that the weight of each segment be distributed uniformly. thumb|Figure 01-Sample continuous beam section ==Derivation of three moments equations == Mohr's theorem can be used to derive the three moment theorem (TMT). ===Mohr's first theorem=== The change in slope of a deflection curve between two points of a beam is equal to the area of the M/EI diagram between those two points.(Figure 02) thumb|Figure 02-Mohr's First Theorem ===Mohr's second theorem=== Consider two points k1 and k2 on a beam. The deflection of k1 and k2 relative to the point of intersection between tangent at k1 and k2 and vertical through k1 is equal to the moment of M/EI diagram between k1 and k2 about k1.(Figure 03) thumb|Figure03-Mohr's Second Theorem The three moment equation expresses the relation between bending moments at three successive supports of a continuous beam, subject to a loading on a two adjacent span with or without settlement of the supports. ===The sign convention=== According to the Figure 04, # The moment M1, M2, and M3 be positive if they cause compression in the upper part of the beam. (sagging positive) # The deflection downward positive. In civil engineering and structural analysis Clapeyron's theorem of three moments is a relationship among the bending moments at three consecutive supports of a horizontal beam. The moment-area theorem is an engineering tool to derive the slope, rotation and deflection of beams and frames. A beam with both ends fixed is statically indeterminate to the 3rd degree, and any structural analysis method applicable on statically indeterminate beams can be used to calculate the fixed end moments. == Examples == In the following examples, clockwise moments are positive. 400px Concentrated load of magnitude P 400px Linearly distributed load of maximum intensity q0 400px Uniformly distributed load of intensity q 400px Couple of magnitude M0 The two cases with distributed loads can be derived from the case with concentrated load by integration.",The three moment theorem expresses the relation between the deflection of two points on a beam relative to the point of intersection between tangent at those two points and the vertical through the first point.,"The three moment theorem is used to calculate the maximum allowable bending moment of a beam, which is determined by the weight distribution of each segment of the beam.","The three moment theorem describes the relationship between bending moments at three successive supports of a continuous beam, subject to a loading on two adjacent spans with or without settlement of the supports.","The three moment theorem is used to calculate the weight distribution of each segment of a beam, which is required to apply Mohr's theorem.","The three moment theorem is used to derive the change in slope of a deflection curve between two points of a beam, which is equal to the area of the M/EI diagram between those two points.",C,TRUE,"The background knowledge provides information about Mohr's theorem and the three moment theorem. Based on this knowledge, we can determine the relation between the three moment theorem and the bending moments at three successive supports of a continuous beam."
